output_path,top_folder,collection_folder,series,name,image_url,page_url
sonny_png_library_web/limited/special-collections/home-sweet-home-2024/05__gardening.png,limited,special-collections,Home Sweet Home(2024),Gardening,https://www.sonnyangel.com/renewal/wp-content/uploads/2024/03/gardening.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/special-collections/home-sweet-home-2024/06__baking-treats.png,limited,special-collections,Home Sweet Home(2024),Baking Treats,https://www.sonnyangel.com/renewal/wp-content/uploads/2024/03/baking_treats.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/gifts-of-love-2024/02__rose.png,limited,valentines-collections,Gifts of Love(2024),Rose,https://www.sonnyangel.com/renewal/wp-content/uploads/2024/01/rose.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/gifts-of-love-2024/04__chocolate.png,limited,valentines-collections,Gifts of Love(2024),Chocolate,https://www.sonnyangel.com/renewal/wp-content/uploads/2024/01/chocolate.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/gifts-of-love-2024/01__balloon.png,limited,valentines-collections,Gifts of Love(2024),Balloon,https://www.sonnyangel.com/renewal/wp-content/uploads/2024/01/balloon.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/gifts-of-love-2024/03__cuddly-bear.png,limited,valentines-collections,Gifts of Love(2024),Cuddly Bear,https://www.sonnyangel.com/renewal/wp-content/uploads/2024/01/cuddly_bear.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/gifts-of-love-2024/06__you.png,limited,valentines-collections,Gifts of Love(2024),You,https://www.sonnyangel.com/renewal/wp-content/uploads/2024/01/love.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/valentines-collections/gifts-of-love-2024/05__love.png,limited,valentines-collections,Gifts of Love(2024),Love,https://www.sonnyangel.com/renewal/wp-content/uploads/2024/01/you.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/sweets-collections/charm-candy-store-2023/02__soda-pig.png,limited,sweets-collections,Charm Candy Store(2023),Soda Pig,https://www.sonnyangel.com/renewal/wp-content/uploads/2023/12/soda-pig.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/sweets-collections/charm-candy-store-2023/01__peach-bear.png,limited,sweets-collections,Charm Candy Store(2023),Peach Bear,https://www.sonnyangel.com/renewal/wp-content/uploads/2023/12/peach-bear.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/sweets-collections/charm-candy-store-2023/04__lime-dog.png,limited,sweets-collections,Charm Candy Store(2023),Lime Dog,https://www.sonnyangel.com/renewal/wp-content/uploads/2023/12/lime-dog.png,https://www.sonnyangel.com/products/mini-figure-limited/
sonny_png_library_web/limited/sweets-collections/charm-candy-store-2023/03__orange-sheep.png,limited,sweets-collections,Charm Candy Store(2023),Orange Sheep,https://www.sonnyangel.com/renewal/wp-content/uploads/2023/12/orange-sheep.png,https://www.sonnyangel.com/products/mini-figure-limited/
